query,relevant,recall@1,recall@3,recall@5,mrr,avg_score,top1_name,top1_score,hit
What is the population of Bern?,Bern,1,1,1,1.0,0.9395,Bern,0.9515,✓
Tell me about Zurich,Zürich,1,1,1,1.0,0.931,Zürich,0.933,✓
How high is the Matterhorn?,Matterhorn,1,1,1,1.0,0.9456,Matterhorn,0.9559,✓
What is the largest city in Switzerland?,Zürich,0,0,0,0.0,0.9339,Trub,0.9378,✗
Tell me about Lake Geneva,Lake Geneva,1,1,1,1.0,0.9376,Lake Geneva,0.944,✓
Where is Interlaken?,Interlaken,0,0,0,0.0,0.9231,Hinterburgseeli,0.9243,✗
What mountains are near Zermatt?,Zermatt,0,0,0,0.0,0.9323,Pointe du Mountet,0.9362,✗
Population of Basel,Basel,1,1,1,1.0,0.9386,Basel,0.9516,✓
Tell me about the Rhine river,Rhein,0,0,0,0.0,0.9247,Dachlisee,0.9296,✗
What canton is Lucerne in?,Kanton Luzern,1,1,1,1.0,0.9483,Kanton Luzern,0.9511,✓
How high is Jungfrau?,Jungfrau,1,1,1,1.0,0.9462,Jungfrau,0.9566,✓
Tell me about Lake Zurich,Zürichsee,1,1,1,1.0,0.9361,Zürichsee,0.9394,✓
What is Graubünden?,Kanton Graubünden,1,1,1,1.0,0.9367,Kanton Graubünden,0.9466,✓
Elevation of Eiger,Eiger,1,1,1,1.0,0.9412,Eiger,0.9502,✓
Tell me about Lausanne,Lausanne,1,1,1,1.0,0.9288,Lausanne,0.9329,✓
What is the capital of Switzerland?,Bern,0,0,1,0.25,0.9316,Lausanne,0.9329,✓
Tell me about the Aare river,Aare,1,1,1,1.0,0.9271,Aare,0.9394,✓
How high is the Finsteraarhorn?,Finsteraarhorn,1,1,1,1.0,0.9461,Finsteraarhorn,0.9549,✓
Tell me about Geneva,Geneva,1,1,1,1.0,0.9254,Geneva,0.9273,✓
What is the largest lake in Switzerland?,Grand Lac,1,1,1,1.0,0.9389,Grand Lac,0.945,✓
